order_item_id,order_number,product_slug,product_name,category_slug,brand,unit_price_cents,quantity,line_total_cents
60,TB-20261021-0033,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
61,TB-20261111-0034,junior-engineer-nuts-bolts-workshop,Junior Engineer Nuts & Bolts Workshop,building-construction,Tinker Crew,3499,1,3499
62,TB-20261123-0035,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
63,TB-20260818-0036,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,1,1799
64,TB-20260818-0036,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
65,TB-20260723-0037,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,2,17998
66,TB-20260723-0037,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
67,TB-20261103-0038,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,2,3598
68,TB-20261103-0038,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,2,17998
69,TB-20261103-0038,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,1,3799
70,TB-20260317-0039,rainbow-rise-wooden-block-set,Rainbow Rise Wooden Block Set (100 pieces),building-construction,Maple & Moss,4299,1,4299
71,TB-20261204-0040,pocket-pals-mini-plush-set,Pocket Pals Mini Plush Set (6 animals),dolls-plush,Hollow Hill,2199,2,4398
72,TB-20260721-0041,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,2,15998
73,TB-20260731-0042,alphabet-adventure-magnetic-letters,Alphabet Adventure Magnetic Letters,stem-learning,Little Lane,2299,1,2299
74,TB-20260731-0042,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,2,7598
75,TB-20260731-0042,junior-engineer-nuts-bolts-workshop,Junior Engineer Nuts & Bolts Workshop,building-construction,Tinker Crew,3499,1,3499
76,TB-20261102-0043,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
77,TB-20261220-0044,dreamlight-nursery-doll-cot,Dreamlight Nursery Doll & Cot,dolls-plush,Little Lane,4499,1,4499
78,TB-20261220-0044,sidewalk-chalk-artist-kit,Sidewalk Chalk Artist Kit (48 sticks),outdoor-active-play,Sunbeam Play,1499,1,1499
79,TB-20260514-0045,dreamlight-nursery-doll-cot,Dreamlight Nursery Doll & Cot,dolls-plush,Little Lane,4499,1,4499
80,TB-20260514-0045,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
81,TB-20260514-0045,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
82,TB-20261128-0046,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
83,TB-20260220-0047,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,1,3299
84,TB-20261123-0048,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,2,3598
85,TB-20261113-0049,sidewalk-chalk-artist-kit,Sidewalk Chalk Artist Kit (48 sticks),outdoor-active-play,Sunbeam Play,1499,1,1499
86,TB-20261113-0049,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,1,3799
87,TB-20261104-0050,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,2,3598
88,TB-20261104-0050,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,1,3299
89,TB-20261104-0050,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
90,TB-20261218-0051,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
91,TB-20261218-0051,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,1,2499
92,TB-20260925-0052,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,2,13598
93,TB-20260925-0052,magnatile-explorer-starter-pack,MagnaTile Explorer Starter Pack (72 pieces),building-construction,BrightBuild,5999,1,5999
94,TB-20260925-0052,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
95,TB-20260925-0052,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,2,5798
96,TB-20261214-0053,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,2,10998
97,TB-20260901-0054,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
98,TB-20260901-0054,rainbow-rise-wooden-block-set,Rainbow Rise Wooden Block Set (100 pieces),building-construction,Maple & Moss,4299,1,4299
99,TB-20260622-0055,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,1,3299
100,TB-20260907-0056,gravity-loop-marble-run-deluxe,Gravity Loop Marble Run (Deluxe),building-construction,BrightBuild,4799,1,4799
101,TB-20261105-0057,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
102,TB-20261112-0058,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
103,TB-20261112-0058,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,1,3299
104,TB-20260805-0059,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,2,5998
105,TB-20260805-0059,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,1,3299
106,TB-20260805-0059,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
107,TB-20261127-0060,magnatile-explorer-starter-pack,MagnaTile Explorer Starter Pack (72 pieces),building-construction,BrightBuild,5999,1,5999
108,TB-20261207-0061,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
109,TB-20260127-0062,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
110,TB-20260127-0062,stargazer-beginner-telescope,Stargazer Beginner Telescope,stem-learning,Northlight,9499,1,9499
111,TB-20260826-0063,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
112,TB-20260828-0064,sunny-farm-floor-puzzle,Sunny Farm 48-Piece Floor Puzzle,games-puzzles,Fox & Feather,1599,1,1599
113,TB-20260828-0064,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
114,TB-20260908-0065,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
115,TB-20260906-0066,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
116,TB-20261220-0067,sidewalk-chalk-artist-kit,Sidewalk Chalk Artist Kit (48 sticks),outdoor-active-play,Sunbeam Play,1499,2,2998
117,TB-20261220-0067,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
118,TB-20260828-0068,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
119,TB-20261204-0069,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,2,4998
120,TB-20261204-0069,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,1,5499
121,TB-20261114-0070,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
122,TB-20261209-0071,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,2,4998
123,TB-20261209-0071,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,1,5499
124,TB-20261203-0072,sunny-farm-floor-puzzle,Sunny Farm 48-Piece Floor Puzzle,games-puzzles,Fox & Feather,1599,1,1599
125,TB-20261203-0072,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,3,11397
126,TB-20261203-0072,castle-quest-brick-set,Castle Quest Brick Set (480 pieces),building-construction,Blockworks,6499,1,6499
127,TB-20261118-0073,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,1,2499
128,TB-20261118-0073,rainbow-rise-wooden-block-set,Rainbow Rise Wooden Block Set (100 pieces),building-construction,Maple & Moss,4299,1,4299
129,TB-20260916-0074,meadow-friends-rag-doll-iris,Meadow Friends Rag Doll — Iris,dolls-plush,Hollow Hill,3299,1,3299
130,TB-20260823-0075,sidewalk-chalk-artist-kit,Sidewalk Chalk Artist Kit (48 sticks),outdoor-active-play,Sunbeam Play,1499,3,4497
131,TB-20260823-0075,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,1,3299
132,TB-20260408-0076,magnatile-explorer-starter-pack,MagnaTile Explorer Starter Pack (72 pieces),building-construction,BrightBuild,5999,1,5999
133,TB-20260408-0076,stargazer-beginner-telescope,Stargazer Beginner Telescope,stem-learning,Northlight,9499,1,9499
134,TB-20261103-0077,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,1,1799
135,TB-20261103-0077,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
136,TB-20261103-0077,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,2,5798
137,TB-20261128-0078,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,1,3799
138,TB-20261128-0078,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
139,TB-20261128-0078,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
140,TB-20261103-0079,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
141,TB-20261103-0079,story-cubes-adventure-dice,Story Cubes Adventure Dice,games-puzzles,Tabletop Junior,1299,2,2598
142,TB-20261103-0079,castle-quest-brick-set,Castle Quest Brick Set (480 pieces),building-construction,Blockworks,6499,2,12998
143,TB-20261016-0080,dreamlight-nursery-doll-cot,Dreamlight Nursery Doll & Cot,dolls-plush,Little Lane,4499,3,13497
144,TB-20261016-0080,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
145,TB-20261016-0080,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
146,TB-20261022-0081,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,1,6799
147,TB-20261213-0082,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
148,TB-20261213-0082,deep-sea-200-piece-jigsaw,Deep Sea 200-Piece Jigsaw,games-puzzles,Fox & Feather,1899,1,1899
149,TB-20261213-0082,rainbow-rise-wooden-block-set,Rainbow Rise Wooden Block Set (100 pieces),building-construction,Maple & Moss,4299,3,12897
150,TB-20261001-0083,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
151,TB-20261001-0083,meadow-friends-rag-doll-iris,Meadow Friends Rag Doll — Iris,dolls-plush,Hollow Hill,3299,3,9897
152,TB-20261001-0083,castle-quest-brick-set,Castle Quest Brick Set (480 pieces),building-construction,Blockworks,6499,2,12998
153,TB-20260317-0084,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
154,TB-20260317-0084,rainbow-rise-wooden-block-set,Rainbow Rise Wooden Block Set (100 pieces),building-construction,Maple & Moss,4299,1,4299
155,TB-20261213-0085,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,2,6598
156,TB-20261213-0085,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,3,8697
157,TB-20261008-0086,sunny-farm-floor-puzzle,Sunny Farm 48-Piece Floor Puzzle,games-puzzles,Fox & Feather,1599,1,1599
158,TB-20261008-0086,gravity-loop-marble-run-deluxe,Gravity Loop Marble Run (Deluxe),building-construction,BrightBuild,4799,1,4799
159,TB-20261008-0086,junior-engineer-nuts-bolts-workshop,Junior Engineer Nuts & Bolts Workshop,building-construction,Tinker Crew,3499,1,3499
160,TB-20261113-0087,pocket-pals-mini-plush-set,Pocket Pals Mini Plush Set (6 animals),dolls-plush,Hollow Hill,2199,1,2199
161,TB-20261113-0087,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,1,5499
162,TB-20261212-0088,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,3,20397
163,TB-20261129-0089,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,2,5998
164,TB-20261129-0089,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,1,2499
165,TB-20261129-0089,magnatile-explorer-starter-pack,MagnaTile Explorer Starter Pack (72 pieces),building-construction,BrightBuild,5999,1,5999
166,TB-20260914-0090,magnatile-explorer-starter-pack,MagnaTile Explorer Starter Pack (72 pieces),building-construction,BrightBuild,5999,1,5999
167,TB-20260914-0090,junior-engineer-nuts-bolts-workshop,Junior Engineer Nuts & Bolts Workshop,building-construction,Tinker Crew,3499,1,3499
168,TB-20260914-0090,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,1,5499
169,TB-20260914-0090,rainbow-rise-wooden-block-set,Rainbow Rise Wooden Block Set (100 pieces),building-construction,Maple & Moss,4299,1,4299
170,TB-20261204-0091,deep-sea-200-piece-jigsaw,Deep Sea 200-Piece Jigsaw,games-puzzles,Fox & Feather,1899,1,1899
171,TB-20260928-0092,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
172,TB-20260928-0092,alphabet-adventure-magnetic-letters,Alphabet Adventure Magnetic Letters,stem-learning,Little Lane,2299,1,2299
173,TB-20261023-0093,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,1,3299
174,TB-20261023-0093,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,1,3799
175,TB-20260630-0094,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
176,TB-20261118-0095,dreamlight-nursery-doll-cot,Dreamlight Nursery Doll & Cot,dolls-plush,Little Lane,4499,1,4499
177,TB-20261118-0095,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,1,3299
178,TB-20261118-0095,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
179,TB-20261101-0096,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
180,TB-20260417-0097,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,1,2499
181,TB-20260417-0097,junior-archery-target-set,Junior Archery Target Set (foam-tipped),outdoor-active-play,Rove,3799,1,3799
182,TB-20261210-0098,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
183,TB-20261210-0098,magnatile-explorer-starter-pack,MagnaTile Explorer Starter Pack (72 pieces),building-construction,BrightBuild,5999,1,5999
184,TB-20261210-0098,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,2,10998
185,TB-20260719-0099,sunny-farm-floor-puzzle,Sunny Farm 48-Piece Floor Puzzle,games-puzzles,Fox & Feather,1599,1,1599
186,TB-20260719-0099,dreamlight-nursery-doll-cot,Dreamlight Nursery Doll & Cot,dolls-plush,Little Lane,4499,1,4499
187,TB-20260719-0099,woodland-match-memory-game,Woodland Match Memory Game,games-puzzles,Fox & Feather,1799,1,1799
188,TB-20260719-0099,magnatile-explorer-starter-pack,MagnaTile Explorer Starter Pack (72 pieces),building-construction,BrightBuild,5999,2,11998
189,TB-20261025-0100,trailblazer-wooden-balance-bike,Trailblazer Wooden Balance Bike,outdoor-active-play,Rove,8999,1,8999
190,TB-20261025-0100,alphabet-adventure-magnetic-letters,Alphabet Adventure Magnetic Letters,stem-learning,Little Lane,2299,1,2299
191,TB-20260919-0101,gravity-loop-marble-run-deluxe,Gravity Loop Marble Run (Deluxe),building-construction,BrightBuild,4799,2,9598
192,TB-20260919-0101,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
193,TB-20260919-0101,rainbow-rise-wooden-block-set,Rainbow Rise Wooden Block Set (100 pieces),building-construction,Maple & Moss,4299,1,4299
194,TB-20260222-0102,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,1,5499
195,TB-20260608-0103,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
196,TB-20260608-0103,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,2,10998
197,TB-20260608-0103,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
198,TB-20261022-0104,volcano-crystal-science-lab,Volcano & Crystal Science Lab,stem-learning,Tinker Crew,3299,1,3299
199,TB-20260714-0105,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
200,TB-20260714-0105,gravity-loop-marble-run-deluxe,Gravity Loop Marble Run (Deluxe),building-construction,BrightBuild,4799,3,14397
201,TB-20260714-0105,codebot-screen-free-coding-robot,CodeBot Screen-Free Coding Robot,stem-learning,Tinker Crew,7999,1,7999
202,TB-20260714-0105,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,2,5798
203,TB-20261025-0106,bramble-organic-cotton-bear,Bramble the Organic Cotton Bear,dolls-plush,Hollow Hill,2999,1,2999
204,TB-20261025-0106,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
205,TB-20261107-0107,rocket-race-family-board-game,Rocket Race Family Board Game,games-puzzles,Tabletop Junior,2899,1,2899
206,TB-20261107-0107,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,3,20397
207,TB-20261107-0107,rainbow-rise-wooden-block-set,Rainbow Rise Wooden Block Set (100 pieces),building-construction,Maple & Moss,4299,1,4299
208,TB-20261227-0108,splash-zone-water-table,Splash Zone Water Table,outdoor-active-play,Sunbeam Play,6799,2,13598
209,TB-20261227-0108,little-kitchen-play-cafe-set,Little Kitchen Play Café Set,dolls-plush,Maple & Moss,5499,1,5499
210,TB-20260819-0109,sidewalk-chalk-artist-kit,Sidewalk Chalk Artist Kit (48 sticks),outdoor-active-play,Sunbeam Play,1499,1,1499
211,TB-20261220-0110,backyard-bounce-jumbo-play-ball-set,Backyard Bounce Jumbo Play Ball Set,outdoor-active-play,Rove,2499,1,2499
